iter	RMSE
0	0.9862323329
1	0.9709416039
2	0.957055404
3	0.9449448615
4	0.9332973939
5	0.9233616257
6	0.9119604008
7	0.9017677094
8	0.8926579849
9	0.8830584507
10	0.8751397478
11	0.8666348504
12	0.8594721096
13	0.8526993633
14	0.8452471627
15	0.8393064187
16	0.8336808478
17	0.8273614467
18	0.8219936514
19	0.8158509391
20	0.8111727328
21	0.8060084355
22	0.8011358361
23	0.796702515
24	0.7926461122
25	0.7892953305
26	0.7849784182
27	0.7822913732
28	0.7788783969
29	0.7754481267
30	0.7725123649
31	0.768989026
32	0.7649637147
33	0.7614744665
34	0.7587000249
35	0.7561940042
36	0.7532416358
37	0.7512718697
38	0.7488170365
39	0.746514549
40	0.7441257367
41	0.7417540384
42	0.7395034584
43	0.7371180653
44	0.7353313752
45	0.7334108345
46	0.7318206048
47	0.7300098083
48	0.7280557919
49	0.7266343893
50	0.7246750224
51	0.7231364742
52	0.721724219
53	0.7204666956
54	0.7181185543
55	0.7167443094
56	0.7153441084
57	0.7143534673
58	0.7132943003
59	0.7118778602
60	0.7112174847
61	0.7100987358
62	0.7082890091
63	0.7067785199
64	0.7050819412
65	0.703783011
66	0.7022808608
67	0.7012833016
68	0.7000361206
69	0.6985812711
70	0.6969009207
71	0.6955334443
72	0.6940649117
73	0.6929339956
74	0.6921712867
75	0.6911548393
76	0.690290736
77	0.689092027
78	0.6878331932
79	0.6868390213
80	0.6856062519
81	0.6841758149
82	0.6831586707
83	0.6821348479
84	0.6808513694
85	0.6799755743
86	0.6790853949
87	0.6778650463
88	0.6770870422
89	0.6761421635
90	0.675245605
91	0.674269563
92	0.6733266454
93	0.6725493761
94	0.6717415232
95	0.6708834797
96	0.6701432478
97	0.6694069837
98	0.6683239856
99	0.6677777476
100	0.6668265305
101	0.6661569936
102	0.6654575611
103	0.6648035241
104	0.6641505948
105	0.663736965
106	0.6627809846
107	0.6618037041
108	0.6607740419
109	0.6600755136
110	0.659200909
111	0.6582942393
112	0.6577030139
113	0.6571088725
114	0.6563931231
115	0.6554694111
116	0.6547608847
117	0.6536146913
118	0.6526035774
119	0.6515366724
120	0.6509283621
121	0.6499415077
122	0.6492997865
123	0.6482332825
124	0.647757036
125	0.6472149533
126	0.6466808487
127	0.645704152
128	0.6451979069
129	0.6444192129
130	0.6438041657
131	0.6427725607
132	0.642131215
133	0.6411419383
134	0.6403964212
135	0.6397279993
136	0.6390797991
137	0.6383887348
138	0.6379186044
139	0.6373284114
140	0.636648157
141	0.6359145478
142	0.6352066562
143	0.6342825468
144	0.6334813967
145	0.6328393625
146	0.632034937
147	0.6311414895
148	0.6304090762
149	0.6296491215
150	0.6291815728
151	0.6285035
152	0.6278663931
153	0.6270405713
154	0.6265414719
155	0.6254615918
156	0.6248370157
157	0.6243502737
158	0.6234685618
159	0.6228725455
160	0.6224620515
161	0.6215791794
162	0.6205944999
163	0.619860839
164	0.6188992889
165	0.6182373631
166	0.6176518786
167	0.6172851958
168	0.6162699797
169	0.6152384279
170	0.6143325773
171	0.6136824544
172	0.6128797733
173	0.6118758028
174	0.6114466683
175	0.6108347661
176	0.6099912693
177	0.6093343968
178	0.6087724391
179	0.6080627738
180	0.6074261101
181	0.6068961145
182	0.6063047421
183	0.6052625455
184	0.6047597527
185	0.6043180711
186	0.6037231132
187	0.602731911
188	0.6021199937
189	0.6014368575
190	0.6009133055
191	0.6000202576
192	0.5990681036
193	0.5984590708
194	0.5977214284
195	0.5967635401
196	0.5956287677
197	0.5946551627
198	0.5941810198
199	0.5935990598
200	0.5928412393
201	0.5919641012
202	0.5910788929
203	0.5900898772
204	0.5891798041
205	0.5885394604
206	0.5879188157
207	0.5872003376
208	0.5864151949
209	0.5855297733
210	0.5850609985
211	0.5840916452
212	0.5835542731
213	0.5828733054
214	0.5819768102
215	0.5809390558
216	0.5805749963
217	0.5798641063
218	0.5790895943
219	0.5784405178
220	0.5778099744
221	0.5773571958
222	0.5765286181
223	0.5759880374
224	0.5752679341
225	0.574325905
226	0.5735807527
227	0.572896938
228	0.5723215012
229	0.5717450649
230	0.5706378076
231	0.5696653291
232	0.5690685324
233	0.5684852643
234	0.5676482809
235	0.5666131269
236	0.5660893552
237	0.565470843
238	0.5643350536
239	0.5635418756
240	0.5629007254
241	0.5623366781
242	0.5614578903
243	0.5605550666
244	0.5597164239
245	0.5590760417
246	0.5584288765
247	0.5576123805
248	0.5567305591
249	0.5560523948
250	0.5556377272
251	0.5548781646
252	0.5540708326
253	0.5533248354
254	0.5528421572
255	0.5517976879
256	0.5514191289
257	0.5506451466
258	0.5500713485
259	0.5495824699
260	0.5488416619
261	0.5483088808
262	0.5472467064
263	0.5467913066
264	0.5459011142
265	0.5454997432
266	0.5447907023
267	0.5439389799
268	0.5433471809
269	0.5428308537
270	0.5422693422
271	0.5418802369
272	0.5411584576
273	0.5404110205
274	0.5398358363
275	0.5389537385
276	0.5379786122
277	0.5372321929
278	0.5365224377
279	0.535626099
280	0.5348598399
281	0.5344394308
282	0.5337123542
283	0.5334322519
284	0.5328205751
285	0.5321209251
286	0.531715323
287	0.5312093908
288	0.5307157861
289	0.5302220867
290	0.5299339105
291	0.5290769842
292	0.5286913879
293	0.5279701685
294	0.5272942014
295	0.5264223403
296	0.5259604063
297	0.5252862185
298	0.5248825334
299	0.524132032
300	0.5235079341
301	0.5232474619
302	0.5226180949
303	0.5220278414
304	0.5212859452
305	0.5208794518
306	0.5204070723
307	0.5201251298
308	0.5196759852
309	0.5192922452
310	0.5185776624
311	0.5181407978
312	0.5175911925
313	0.5171551113
314	0.5166814603
315	0.5163072183
316	0.5159278359
317	0.5155198343
318	0.514885088
319	0.5141699531
320	0.5137703924
321	0.5134323374
322	0.5128753031
323	0.5121070168
324	0.5117334203
325	0.5110576889
326	0.5102327966
327	0.5096566684
328	0.5090916966
329	0.508659816
330	0.5079824012
331	0.5075562414
332	0.5072555966
333	0.5067540404
334	0.5061278228
335	0.5053086312
336	0.5046845672
337	0.5042121661
338	0.5037119466
339	0.5030681958
340	0.5023519967
341	0.5016877611
342	0.5014531184
343	0.5008424764
344	0.500180345
345	0.499784345
346	0.4992096728
347	0.4986058074
348	0.4983605189
349	0.4977788526
350	0.4970235472
351	0.4966795799
352	0.4961657438
353	0.4956852232
354	0.495058258
355	0.4947205969
356	0.4943514949
357	0.4936556491
358	0.4930358895
359	0.492442934
360	0.4921028745
361	0.4916860084
362	0.4911827436
363	0.490575329
364	0.4899680689
365	0.4895325083
366	0.4888727405
367	0.4881227718
368	0.4875961827
369	0.4869692472
370	0.4865138267
371	0.4862278387
372	0.485676966
373	0.485128563
