iter	Passed	Remaining
0	6	6728
1	11	5517
2	16	5446
3	21	5395
4	26	5268
5	32	5345
6	36	5241
7	42	5288
8	48	5300
9	53	5264
10	57	5206
11	63	5234
12	70	5316
13	74	5228
14	79	5222
15	84	5191
16	91	5270
17	95	5218
18	101	5217
19	106	5199
20	109	5119
21	115	5125
22	119	5062
23	123	5016
24	128	5006
25	134	5041
26	139	5019
27	143	4980
28	149	4991
29	153	4975
30	158	4960
31	163	4942
32	169	4965
33	175	4997
34	180	4964
35	184	4942
36	189	4920
37	193	4894
38	196	4847
39	201	4827
40	205	4799
41	210	4793
42	215	4790
43	220	4791
44	224	4771
45	230	4770
46	234	4751
47	240	4760
48	244	4741
49	248	4724
50	255	4750
51	260	4755
52	265	4745
53	270	4740
54	275	4728
55	278	4700
56	283	4696
57	288	4685
58	294	4690
59	299	4696
60	303	4667
61	307	4650
62	312	4649
63	316	4631
64	323	4653
65	327	4641
66	333	4647
67	338	4638
68	343	4636
69	349	4643
70	353	4629
71	358	4620
72	363	4615
73	367	4601
74	372	4589
75	377	4594
76	383	4591
77	387	4577
78	392	4581
79	398	4583
80	404	4585
81	408	4569
82	412	4552
83	415	4533
84	419	4515
85	424	4508
86	428	4491
87	430	4465
88	434	4444
89	438	4430
90	441	4413
91	445	4401
92	449	4387
93	454	4381
94	458	4369
95	462	4354
96	467	4354
97	471	4335
98	475	4325
99	479	4314
100	483	4306
101	487	4290
102	490	4272
103	494	4258
104	497	4241
105	502	4234
106	506	4223
107	509	4210
108	513	4194
109	517	4184
110	522	4182
111	527	4181
112	532	4177
113	535	4164
114	540	4157
115	543	4145
116	548	4139
117	552	4129
118	556	4120
119	561	4115
120	565	4107
121	568	4090
122	572	4080
123	576	4071
124	580	4065
125	584	4056
126	588	4043
127	593	4040
128	597	4031
129	600	4021
130	604	4011
131	609	4006
132	613	3996
133	616	3982
134	620	3978
135	625	3971
136	628	3958
137	632	3951
138	637	3947
139	640	3934
140	644	3927
141	648	3919
142	652	3909
143	655	3896
144	659	3886
145	663	3881
146	668	3878
147	672	3870
148	677	3868
149	681	3860
150	684	3849
151	688	3840
152	693	3837
153	697	3831
154	701	3823
155	704	3812
156	709	3810
157	714	3805
158	718	3802
159	724	3801
160	729	3798
161	733	3794
162	739	3796
163	744	3795
164	748	3788
165	752	3779
166	756	3773
167	760	3768
168	765	3763
169	770	3763
170	775	3759
171	780	3755
172	784	3750
173	789	3746
174	792	3738
175	798	3737
176	802	3732
177	807	3729
178	813	3730
179	818	3727
180	822	3722
181	826	3714
182	830	3707
183	833	3698
184	838	3695
185	843	3689
186	847	3684
187	852	3681
188	857	3680
189	861	3672
190	864	3663
191	868	3656
192	873	3652
193	878	3648
194	882	3644
195	886	3634
196	889	3625
197	894	3621
198	897	3614
199	902	3609
200	906	3603
201	910	3595
202	914	3590
203	918	3584
204	922	3578
205	926	3570
206	929	3561
207	934	3557
208	938	3552
209	943	3548
210	947	3542
211	950	3534
212	955	3530
213	960	3527
214	964	3522
215	968	3515
216	972	3508
217	976	3502
218	980	3496
219	984	3490
220	989	3486
221	992	3479
222	997	3476
223	1002	3473
224	1007	3470
225	1011	3463
226	1015	3458
227	1019	3451
228	1023	3445
229	1027	3439
230	1032	3436
231	1036	3430
232	1040	3424
233	1044	3417
234	1048	3413
235	1051	3404
236	1056	3399
237	1060	3394
238	1064	3388
239	1068	3383
240	1072	3378
241	1076	3371
242	1080	3365
243	1084	3358
244	1088	3352
245	1092	3347
246	1095	3340
247	1099	3334
248	1105	3335
249	1110	3332
250	1114	3326
251	1119	3322
252	1123	3317
253	1128	3315
254	1133	3312
255	1139	3312
256	1144	3309
257	1148	3303
258	1152	3296
259	1156	3291
260	1161	3287
261	1165	3282
262	1169	3277
263	1173	3272
264	1177	3265
265	1181	3261
266	1185	3253
267	1189	3247
268	1192	3241
269	1196	3236
270	1200	3228
271	1204	3225
272	1209	3220
273	1213	3215
274	1217	3210
275	1221	3203
276	1224	3196
277	1228	3190
278	1232	3184
279	1236	3179
280	1240	3174
281	1245	3171
282	1249	3165
283	1253	3159
284	1258	3156
285	1265	3158
286	1270	3155
287	1274	3151
288	1280	3149
289	1284	3144
290	1288	3140
291	1294	3137
292	1298	3132
293	1303	3130
294	1307	3123
295	1312	3121
296	1317	3118
297	1322	3115
298	1325	3108
299	1330	3104
300	1334	3099
301	1338	3094
302	1342	3089
303	1346	3083
304	1350	3078
305	1356	3075
306	1359	3069
307	1364	3064
308	1367	3059
309	1372	3055
310	1376	3049
311	1381	3045
312	1385	3041
313	1390	3037
314	1394	3032
315	1398	3028
316	1403	3023
317	1407	3017
318	1411	3012
319	1416	3009
320	1420	3004
321	1424	3000
322	1428	2994
323	1432	2988
324	1436	2984
325	1440	2978
326	1443	2971
327	1448	2967
328	1452	2962
329	1456	2956
330	1460	2950
331	1464	2945
332	1467	2940
333	1473	2937
334	1477	2932
335	1481	2927
336	1484	2920
337	1488	2916
338	1492	2910
339	1496	2905
340	1501	2901
341	1504	2895
342	1508	2890
343	1513	2887
344	1517	2881
345	1521	2875
346	1526	2872
347	1531	2868
348	1535	2863
349	1540	2860
350	1544	2855
351	1548	2850
352	1552	2845
353	1557	2841
354	1562	2838
355	1566	2834
356	1570	2829
357	1575	2824
358	1579	2821
359	1583	2814
360	1587	2809
361	1590	2803
362	1594	2798
363	1599	2794
364	1604	2790
365	1608	2786
366	1612	2781
367	1616	2775
368	1621	2772
369	1625	2767
370	1629	2762
371	1633	2758
372	1637	2752
373	1642	2748
374	1645	2743
375	1650	2738
376	1654	2733
377	1658	2728
378	1663	2725
379	1667	2720
380	1671	2715
381	1675	2710
382	1680	2706
383	1684	2702
384	1689	2698
385	1693	2694
386	1697	2689
387	1701	2683
388	1705	2679
389	1709	2674
390	1714	2670
391	1718	2665
392	1722	2659
393	1725	2653
394	1729	2649
395	1734	2645
396	1738	2640
397	1742	2635
398	1747	2631
399	1750	2626
400	1755	2622
401	1759	2617
402	1763	2612
403	1767	2607
404	1770	2601
405	1775	2597
406	1779	2592
407	1783	2587
408	1787	2582
409	1791	2577
410	1794	2571
411	1797	2566
412	1802	2561
413	1805	2555
414	1810	2551
415	1815	2548
416	1818	2542
417	1823	2538
418	1826	2533
419	1831	2528
420	1835	2524
421	1838	2518
422	1842	2513
423	1848	2511
424	1852	2506
425	1857	2502
426	1861	2498
427	1865	2492
428	1869	2488
429	1876	2487
430	1880	2482
431	1885	2478
432	1890	2475
433	1894	2470
434	1898	2465
435	1902	2461
436	1906	2456
437	1910	2451
438	1915	2447
439	1919	2442
440	1923	2438
441	1927	2432
442	1931	2428
443	1935	2423
444	1939	2418
445	1942	2412
446	1946	2407
447	1951	2404
