,longitude,latitude,the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
0,-87.74750923800002,41.956892084,POINT (-87.74750923800002 41.956892084),15189,CICERO,BERTEAU (north leg),SB,FS,"54,54A",,CHICAGO,Cicero & Berteau
1,-87.64178572600002,41.67799153599998,POINT (-87.64178572600002 41.67799153599998),14545,HALSTED,119TH STREET,NB,FS,"8A,108",,CHICAGO,Halsted & 119th Street
2,-87.70896851700002,42.012049691000016,POINT (-87.70896851700002 42.012049691000016),15046,KEDZIE,TOUHY,NB,FS,11,,CHICAGO,Kedzie & Touhy
3,-87.66891603599998,41.954186386,POINT (-87.66891603599998 41.954186386),6280,ASHLAND,IRVING PARK,NB,NS,"9,X9",,CHICAGO,Ashland & Irving Park
4,-87.67517869800002,41.83201446999999,POINT (-87.67517869800002 41.83201446999999),4484,ARCHER,DAMEN,SWB,NS,62,N62,CHICAGO,Archer & Damen
5,-87.70398,41.805777001000024,POINT (-87.70398 41.805777001000024),3082,KEDZIE,48TH PLACE (north leg),SB,NS,"47,52",,CHICAGO,Kedzie & 48th Place
6,-87.70402509799999,41.811615116999974,POINT (-87.70402509799999 41.811615116999974),3120,KEDZIE,45TH STREET,NB,NS,52,,CHICAGO,Kedzie & 45th Street
7,-87.64047498399998,41.943529618000014,POINT (-87.64047498399998 41.943529618000014),1157,LAKE SHORE,ROSCOE,NB,NT,"135,146,151",,CHICAGO,Lake Shore & Roscoe
8,-87.697276639,41.92268777300001,POINT (-87.697276639 41.92268777300001),3192,CALIFORNIA,MILWAUKEE,NB,NS,94,,CHICAGO,California & Milwaukee
9,-87.673530873,41.76834419800002,POINT (-87.673530873 41.76834419800002),8720,DAMEN,69TH STREET,NB,NS,48,,CHICAGO,Damen & 69th Street
10,-87.706360673,41.89213207099999,POINT (-87.706360673 41.89213207099999),14601,KEDZIE,OHIO,NB,FS,52,,CHICAGO,Kedzie & Ohio
11,-87.693710737,41.793567438000025,POINT (-87.693710737 41.793567438000025),4157,CALIFORNIA,55TH STREET,NB,NS,94,,CHICAGO,California & 55th Street
12,-87.68514590199999,41.83039914,POINT (-87.68514590199999 41.83039914),8264,WESTERN,35TH STREET,SB,NS,"49,X49",N49,CHICAGO,Western & 35th Street
13,-87.64437800000002,41.88693999999998,POINT (-87.64437800000002 41.88693999999998),5505,DESPLAINES,FULTON,SB,NS,56,,CHICAGO,Desplaines & Fulton
14,-87.668361011,41.979682035999986,POINT (-87.668361011 41.979682035999986),14787,CLARK,BALMORAL,SB,FS,22,N22,CHICAGO,Clark & Balmoral
15,-87.58529500100002,41.722579000999986,POINT (-87.58529500100002 41.722579000999986),7211,STONY ISLAND,95TH STREET,SB,NS,"N5,28,95",N5,CHICAGO,Stony Island & 95th Street
16,-87.650887501,41.72094149999998,POINT (-87.650887501 41.72094149999998),6569,VINCENNES,95TH STREET,SB,FS,112,,CHICAGO,Vincennes & 95th Street
17,-87.643193,41.71606800000001,POINT (-87.643193 41.71606800000001),3701,HALSTED,98TH STREET,SB,NS,"8A,108",,CHICAGO,Halsted & 98th Street
18,-87.71132927500003,41.890294830000016,POINT (-87.71132927500003 41.890294830000016),11167,HOMAN,FRANKLIN(n.service drive),SB,NS,82,,CHICAGO,Homan & Franklin
19,-87.743173716,41.80223378400001,POINT (-87.743173716 41.80223378400001),8123,CICERO,50TH STREET,SB,NS,"47,54B",,CHICAGO,Cicero & 50th Street
20,-87.63504513100003,41.85265119799999,POINT (-87.63504513100003 41.85265119799999),4454,ARCHER,CERMAK/PRINCETON,NEB,NS,62,,CHICAGO,Archer & Cermak/Princeton
21,-87.62551300000001,41.78389500100002,POINT (-87.62551300000001 41.78389500100002),2427,STATE,61ST STREET (north leg),SB,NT,29,,CHICAGO,State & 61st Street
22,-87.66608024499999,41.96174417999998,POINT (-87.66608024499999 41.96174417999998),1814,CLARK,MONTROSE,SB,NS,"22,78",N22,CHICAGO,Clark & Montrose
23,-87.60976788099998,41.866173704000005,POINT (-87.60976788099998 41.866173704000005),17234,SOLIDARITY DR,LYNN WHITE DRIVE,EB,FS,"130,146",,CHICAGO,Solidarity Dr & Lynn White Drive
24,-87.74439834100002,41.86582566300001,POINT (-87.74439834100002 41.86582566300001),17441,ROOSEVELT,CICERO,EB,FS,12,,CICERO,Roosevelt & Cicero
25,-87.64051631900003,41.70688442699998,POINT (-87.64051631900003 41.70688442699998),12159,103RD STREET,UNION,EB,NS,103,,CHICAGO,103rd Street & Union
26,-87.616663894,41.72174716400002,POINT (-87.616663894 41.72174716400002),2818,95TH STREET,FOREST,EB,NS,"N5,95,111,115",N5,CHICAGO,95th Street & Forest
27,-87.57133435700001,41.75886117800002,POINT (-87.57133435700001 41.75886117800002),10956,75TH STREET,PAXTON,EB,NS,"N5,75",N5,CHICAGO,75th Street & Paxton
28,-87.811735999,41.937928,POINT (-87.811735999 41.937928),9234,BELMONT,OKETO,EB,NS,77,,CHICAGO,Belmont & Oketo
29,-87.59747700100002,41.816976001,POINT (-87.59747700100002 41.816976001),7989,OAKENWALD,43RD STREET,NB,FS,43,,CHICAGO,Oakenwald & 43rd Street
30,-87.70166917900002,41.71890996000002,POINT (-87.70166917900002 41.71890996000002),9981,KEDZIE,96TH STREET,NB,MT,52A,,EVERGREEN PARK,Kedzie & 96th Street
31,-87.625451999,41.78903500000001,POINT (-87.625451999 41.78903500000001),2305,STATE,58TH STREET,NB,NS,29,,CHICAGO,State & 58th Street
32,-87.766860001,41.95124400100002,POINT (-87.766860001 41.95124400100002),11619,CENTRAL,BYRON,NB,NS,85,,CHICAGO,Central & Byron
33,-87.57521499900002,41.71887800000002,POINT (-87.57521499900002 41.71887800000002),5282,JEFFERY,97TH STREET,NB,MT,15,,CHICAGO,Jeffery & 97th Street
34,-87.63562556900001,41.921923413,POINT (-87.63562556900001 41.921923413),1143,STOCKTON,WEBSTER,NB,NT,"151,156",,CHICAGO,Stockton & Webster
35,-87.805116209,41.896187843999996,POINT (-87.805116209 41.896187843999996),15703,HARLEM,SCHNEIDER,NB,NS,90,,OAK PARK,Harlem & Schneider
36,-87.63167700000002,41.836478,POINT (-87.63167700000002 41.836478),6501,WENTWORTH,3200 SOUTH,SB,MB,"24,31",,CHICAGO,3200 S Wentworth
37,-87.62418500000001,41.86388299999999,POINT (-87.62418500000001 41.86388299999999),1593,MICHIGAN,14TH STREET,SB,FS,"1,3,4",N4,CHICAGO,Michigan & 14th Street
